id,section_id,name,time_start,time_end,day,created_at,updated_at
169,65,SD,18:45,19:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
170,71,AE,16:40,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
171,71,AF,08:45,10:25,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
172,67,AG,08:45,10:25,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
173,67,AH,16:40,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
174,68,TA,08:30,10:10,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
175,68,TB,08:30,10:10,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
176,74,XA,08:30,10:10,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
177,74,XB,08:30,10:10,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
178,70,YA,08:45,10:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
179,70,YB,08:45,10:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
180,71,AE,17:30,18:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
181,71,AF,17:30,18:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
182,72,LA,10:15,11:05,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
183,72,LB,10:15,11:05,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
184,73,VA,13:15,14:05,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
185,73,VB,13:15,14:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
186,74,XA,15:15,16:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
187,74,XB,16:15,17:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
188,74,EA,15:15,16:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
189,74,EB,16:15,17:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
190,75,CE,21:15,22:05,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
191,75,CF,21:15,22:05,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
